Code,MumCode,Sire,Code_anon,MumCode_anon,Sire_anon
SWT13,FRT06,SHAGG,C4687,M0382,D031
TLS13,SCR06,NA,C4309,M0534,NA
TOK13,SLA07,NA,C2641,M0908,NA
TRX13,TIN04,LAPHR,C4704,M1000,D405
TSU13,MNS03,NA,C2206,M0339,NA
TUI13,TTL04,BEL08,C5352,M0094,D210
UKL13,FDL99,NA,C0326,M0652,NA
URC13,ANM06,FLG00,C3949,M0361,D071
VES13,NET02,RUM04,C0604,M0433,D262
VNL13,DOT02,NA,C1582,M0791,NA
VNS13,BUT02,SPD01,C3732,M0600,D053
WAL13,DIC95,RUM04,C4909,M0796,D262
WIC13,SOX09,CLW00,C1698,M0127,D298
